Replace Part * usb_typeA in D:\0_Institute\DP\MY-MY\altium\Diploma\scheme.SchDoc with usb_typeA from diploma.SchLib
Replace Part C? capacitor_15pF in D:\0_Institute\DP\MY-MY\altium\Diploma\scheme.SchDoc with capacitor_15pF from diploma.SchLib
Replace Part C? capacitor_15pF in D:\0_Institute\DP\MY-MY\altium\Diploma\scheme.SchDoc with capacitor_15pF from diploma.SchLib
Replace Part C? capacitor_100nF in D:\0_Institute\DP\MY-MY\altium\Diploma\scheme.SchDoc with capacitor_100nF from diploma.SchLib
Replace Part C? capacitor_100nF in D:\0_Institute\DP\MY-MY\altium\Diploma\scheme.SchDoc with capacitor_100nF from diploma.SchLib
Replace Part C? capacitor_100nF in D:\0_Institute\DP\MY-MY\altium\Diploma\scheme.SchDoc with capacitor_100nF from diploma.SchLib
Replace Part C? capacitor_100nF in D:\0_Institute\DP\MY-MY\altium\Diploma\scheme.SchDoc with capacitor_100nF from diploma.SchLib
Replace Part DA? L293D in D:\0_Institute\DP\MY-MY\altium\Diploma\scheme.SchDoc with L293D from diploma.SchLib
Replace Part DA? TC4421 in D:\0_Institute\DP\MY-MY\altium\Diploma\scheme.SchDoc with TC4421 from diploma.SchLib
Replace Part DA? PCF8574DGVR in D:\0_Institute\DP\MY-MY\altium\Diploma\scheme.SchDoc with PCF8574DGVR from PCF8574DGVR.SchLib
Replace Part DA? PCF8574DGVR in D:\0_Institute\DP\MY-MY\altium\Diploma\scheme.SchDoc with PCF8574DGVR from PCF8574DGVR.SchLib
Replace Part DD? ATMEGA32U4RC-AU in D:\0_Institute\DP\MY-MY\altium\Diploma\scheme.SchDoc with ATMEGA32U4RC-AU from atmega32u4.SchLib
Replace Part DD? SIM900A in D:\0_Institute\DP\MY-MY\altium\Diploma\scheme.SchDoc with SIM900A from diploma.SchLib
Replace Part L? inductor_10uH in D:\0_Institute\DP\MY-MY\altium\Diploma\scheme.SchDoc with inductor_10uH from diploma.SchLib
Replace Part R? res_1K in D:\0_Institute\DP\MY-MY\altium\Diploma\scheme.SchDoc with res_1K from diploma.SchLib
Replace Part R? res_1K in D:\0_Institute\DP\MY-MY\altium\Diploma\scheme.SchDoc with res_1K from diploma.SchLib
Replace Part R? res_1K in D:\0_Institute\DP\MY-MY\altium\Diploma\scheme.SchDoc with res_1K from diploma.SchLib
Replace Part R? res_1K in D:\0_Institute\DP\MY-MY\altium\Diploma\scheme.SchDoc with res_1K from diploma.SchLib
Replace Part R? res_100K in D:\0_Institute\DP\MY-MY\altium\Diploma\scheme.SchDoc with res_100K from diploma.SchLib
Replace Part R? res_100K in D:\0_Institute\DP\MY-MY\altium\Diploma\scheme.SchDoc with res_100K from diploma.SchLib
Replace Part R? res_100K in D:\0_Institute\DP\MY-MY\altium\Diploma\scheme.SchDoc with res_100K from diploma.SchLib
Replace Part R? res_100K in D:\0_Institute\DP\MY-MY\altium\Diploma\scheme.SchDoc with res_100K from diploma.SchLib
Replace Part SB? keypad_button in D:\0_Institute\DP\MY-MY\altium\Diploma\scheme.SchDoc with keypad_button from diploma.SchLib
Replace Part SB? keypad_button in D:\0_Institute\DP\MY-MY\altium\Diploma\scheme.SchDoc with keypad_button from diploma.SchLib
Replace Part SB? keypad_button in D:\0_Institute\DP\MY-MY\altium\Diploma\scheme.SchDoc with keypad_button from diploma.SchLib
Replace Part SB? keypad_button in D:\0_Institute\DP\MY-MY\altium\Diploma\scheme.SchDoc with keypad_button from diploma.SchLib
Replace Part SB? keypad_button in D:\0_Institute\DP\MY-MY\altium\Diploma\scheme.SchDoc with keypad_button from diploma.SchLib
Replace Part SB? keypad_button in D:\0_Institute\DP\MY-MY\altium\Diploma\scheme.SchDoc with keypad_button from diploma.SchLib
Replace Part SB? keypad_button in D:\0_Institute\DP\MY-MY\altium\Diploma\scheme.SchDoc with keypad_button from diploma.SchLib
Replace Part SB? keypad_button in D:\0_Institute\DP\MY-MY\altium\Diploma\scheme.SchDoc with keypad_button from diploma.SchLib
Replace Part SB? keypad_button in D:\0_Institute\DP\MY-MY\altium\Diploma\scheme.SchDoc with keypad_button from diploma.SchLib
Replace Part SB? keypad_button in D:\0_Institute\DP\MY-MY\altium\Diploma\scheme.SchDoc with keypad_button from diploma.SchLib
Replace Part SB? keypad_button in D:\0_Institute\DP\MY-MY\altium\Diploma\scheme.SchDoc with keypad_button from diploma.SchLib
Replace Part SB? keypad_button in D:\0_Institute\DP\MY-MY\altium\Diploma\scheme.SchDoc with keypad_button from diploma.SchLib
Replace Part VT? 2N2926 in D:\0_Institute\DP\MY-MY\altium\Diploma\scheme.SchDoc with 2N2926 from diploma.SchLib
Replace Part VT? 2N2926 in D:\0_Institute\DP\MY-MY\altium\Diploma\scheme.SchDoc with 2N2926 from diploma.SchLib
Replace Part XS? PWM_servo_connector in D:\0_Institute\DP\MY-MY\altium\Diploma\scheme.SchDoc with PWM_servo_connector from diploma.SchLib
Replace Part XS? LCD_connector in D:\0_Institute\DP\MY-MY\altium\Diploma\scheme.SchDoc with LCD_connector from diploma.SchLib
Replace Part XS? VS1833B in D:\0_Institute\DP\MY-MY\altium\Diploma\scheme.SchDoc with VS1833B from diploma.SchLib
Replace Part ZQ? crystal_8mhz in D:\0_Institute\DP\MY-MY\altium\Diploma\scheme.SchDoc with crystal_8mhz from diploma.SchLib
